Employee_Retire_Next_5_year_all,Year,division
9,2028,ภูมิภาคภาคใต้
5,2025,ภูมิภาคภาคใต้
5,2026,ฝ่ายการเงิน
4,2024,ภูมิภาคภาคกลาง
4,2024,รองผู้ว่าการ
4,2026,ฝ่ายวิจัยและพัฒนาด้านการท่องเที่ยว
4,2027,ภูมิภาคภาคกลาง
4,2028,ฝ่ายบริหารทั่วไป
3,2024,ฝ่ายบริหารทั่วไป
3,2025,ฝ่ายการเงิน
3,2025,ภูมิภาคภาคเหนือ
3,2025,ภูมิภาคภาคกลาง
3,2025,ภูมิภาคภาคตะวันออกเฉียงเหนือ
3,2026,ฝ่ายบริการการตลาด
3,2027,ฝ่ายบริการการตลาด
3,2027,ฝ่ายบริหารทั่วไป
3,2027,ภูมิภาคภาคเหนือ
3,2027,ภูมิภาคภาคใต้
3,2028,ภูมิภาคภาคเหนือ
3,2029,ฝ่ายบริการการตลาด
3,2029,ภูมิภาคภาคกลาง
2,2024,ฝ่ายการเงิน
2,2024,ฝ่ายบริการการตลาด
2,2024,ภูมิภาคภาคตะวันออก
2,2024,ภูมิภาคภาคตะวันออกเฉียงเหนือ
2,2024,ภูมิภาคอาเซียน เอเชียใต้ และแปซิฟิกใต้
2,2025,ฝ่ายโฆษณาและประชาสัมพันธ์
2,2025,ฝ่ายบริหารทั่วไป
2,2026,ฝ่ายบริหารทั่วไป
2,2026,ภูมิภาคภาคกลาง
2,2026,ภูมิภาคภาคตะวันออก
2,2026,ภูมิภาคภาคตะวันออกเฉียงเหนือ
2,2026,ภูมิภาคยุโรป
2,2026,รองผู้ว่าการ
2,2027,ฝ่ายการเงิน
2,2027,ฝ่ายบัญชีและงบประมาณ
2,2027,ภูมิภาคภาคตะวันออกเฉียงเหนือ
2,2028,ภูมิภาคภาคตะวันออกเฉียงเหนือ
2,2028,ภูมิภาคยุโรป
2,2028,ภูมิภาคอเมริกา ตะวันออกกลาง และแอฟริกา
2,2029,กลุ่มอำนวยการ
2,2029,ฝ่ายตรวจสอบภายใน
2,2029,ฝ่ายสินค้าการท่องเที่ยว
2,2029,ภูมิภาคเอเชียตะวันออก
2,2029,ภูมิภาคภาคเหนือ
2,2029,ภูมิภาคภาคใต้
1,2024,กลุ่มอำนวยการ
1,2024,ฝ่ายโฆษณาและประชาสัมพันธ์
1,2024,ฝ่ายกิจกรรม
1,2024,ฝ่ายดิจิทัลและเทคโนโลยีสารสนเทศ
1,2024,ฝ่ายติดตามและบริหารความเสี่ยง
1,2024,ฝ่ายทรัพยากรบุคคล
1,2024,ฝ่ายส่งเสริมการลงทุนอุตสาหกรรมท่องเที่ยว
1,2024,ภูมิภาคอเมริกา ตะวันออกกลาง และแอฟริกา
1,2025,ฝ่ายกิจกรรม
1,2025,ฝ่ายทรัพยากรบุคคล
1,2025,ฝ่ายบริการการตลาด
1,2025,ฝ่ายบัญชีและงบประมาณ
1,2025,ฝ่ายวิจัยและพัฒนาด้านการท่องเที่ยว
1,2025,ภูมิภาคเอเชียตะวันออก
1,2025,ภูมิภาคภาคตะวันออก
1,2025,ภูมิภาคอเมริกา ตะวันออกกลาง และแอฟริกา
1,2025,รองผู้ว่าการ
1,2025,สำนักผู้ว่าการ
1,2026,ฝ่ายกิจกรรม
1,2026,ฝ่ายสินค้าการท่องเที่ยว
1,2026,ภูมิภาคภาคเหนือ
1,2026,ภูมิภาคภาคใต้
1,2027,ฝ่ายโฆษณาและประชาสัมพันธ์
1,2027,ฝ่ายกิจกรรม
1,2027,ฝ่ายตรวจสอบภายใน
1,2027,ฝ่ายติดตามและบริหารความเสี่ยง
1,2027,ฝ่ายทรัพยากรบุคคล
1,2027,ภูมิภาคเอเชียตะวันออก
1,2027,ภูมิภาคอาเซียน เอเชียใต้ และแปซิฟิกใต้
1,2028,ฝ่ายโฆษณาและประชาสัมพันธ์
1,2028,ฝ่ายการเงิน
1,2028,ฝ่ายกิจกรรม
1,2028,ฝ่ายดิจิทัลและเทคโนโลยีสารสนเทศ
1,2028,ฝ่ายติดตามและบริหารความเสี่ยง
1,2028,ฝ่ายทรัพยากรบุคคล
1,2028,ฝ่ายบริการการตลาด
1,2028,ฝ่ายวางแผน
1,2028,ภูมิภาคเอเชียตะวันออก
1,2028,ภูมิภาคภาคกลาง
1,2028,ภูมิภาคภาคตะวันออก
1,2028,ภูมิภาคอาเซียน เอเชียใต้ และแปซิฟิกใต้
1,2028,รองผู้ว่าการ
1,2028,สำนักผู้ว่าการ
1,2029,ฝ่ายโฆษณาและประชาสัมพันธ์
1,2029,ฝ่ายการเงิน
1,2029,ฝ่ายกิจกรรม
1,2029,ฝ่ายบริหารทั่วไป
1,2029,ฝ่ายบัญชีและงบประมาณ
1,2029,ฝ่ายส่งเสริมการลงทุนอุตสาหกรรมท่องเที่ยว
1,2029,ภูมิภาคภาคตะวันออก
1,2029,ภูมิภาคอเมริกา ตะวันออกกลาง และแอฟริกา
1,2029,ภูมิภาคอาเซียน เอเชียใต้ และแปซิฟิกใต้
1,2029,สำนักผู้ว่าการ
