tenure_categories,Countby_tenure,division
 0 -1 ปี,1,ฝ่ายโฆษณาและประชาสัมพันธ์
 0 -1 ปี,8,ฝ่ายการเงิน
 0 -1 ปี,1,ฝ่ายกิจกรรม
 0 -1 ปี,1,ฝ่ายดิจิทัลและเทคโนโลยีสารสนเทศ
 0 -1 ปี,7,ฝ่ายติดตามและบริหารความเสี่ยง
 0 -1 ปี,6,ฝ่ายทรัพยากรบุคคล
 0 -1 ปี,2,ฝ่ายบริการการตลาด
 0 -1 ปี,13,ฝ่ายบริหารทั่วไป
 0 -1 ปี,3,ฝ่ายบัญชีและงบประมาณ
 0 -1 ปี,5,ฝ่ายวางแผน
 0 -1 ปี,3,ฝ่ายวิจัยและพัฒนาด้านการท่องเที่ยว
 0 -1 ปี,1,ฝ่ายส่งเสริมการลงทุนอุตสาหกรรมท่องเที่ยว
 0 -1 ปี,2,ฝ่ายสินค้าการท่องเที่ยว
 0 -1 ปี,1,ภูมิภาคเอเชียตะวันออก
 0 -1 ปี,3,ภูมิภาคภาคเหนือ
 0 -1 ปี,2,ภูมิภาคภาคใต้
 0 -1 ปี,1,ภูมิภาคภาคกลาง
 0 -1 ปี,4,ภูมิภาคภาคตะวันออก
 1 - 5 ปี,5,กลุ่มอำนวยการ
 1 - 5 ปี,11,ฝ่ายโฆษณาและประชาสัมพันธ์
 1 - 5 ปี,7,ฝ่ายการเงิน
 1 - 5 ปี,6,ฝ่ายกิจกรรม
 1 - 5 ปี,5,ฝ่ายดิจิทัลและเทคโนโลยีสารสนเทศ
 1 - 5 ปี,3,ฝ่ายตรวจสอบภายใน
 1 - 5 ปี,7,ฝ่ายติดตามและบริหารความเสี่ยง
 1 - 5 ปี,14,ฝ่ายทรัพยากรบุคคล
 1 - 5 ปี,20,ฝ่ายบริการการตลาด
 1 - 5 ปี,24,ฝ่ายบริหารทั่วไป
 1 - 5 ปี,9,ฝ่ายบัญชีและงบประมาณ
 1 - 5 ปี,5,ฝ่ายวางแผน
 1 - 5 ปี,10,ฝ่ายวิจัยและพัฒนาด้านการท่องเที่ยว
 1 - 5 ปี,5,ฝ่ายส่งเสริมการลงทุนอุตสาหกรรมท่องเที่ยว
 1 - 5 ปี,15,ฝ่ายสินค้าการท่องเที่ยว
 1 - 5 ปี,5,ภูมิภาคเอเชียตะวันออก
 1 - 5 ปี,13,ภูมิภาคภาคเหนือ
 1 - 5 ปี,14,ภูมิภาคภาคใต้
 1 - 5 ปี,11,ภูมิภาคภาคกลาง
 1 - 5 ปี,6,ภูมิภาคภาคตะวันออก
 1 - 5 ปี,13,ภูมิภาคภาคตะวันออกเฉียงเหนือ
 1 - 5 ปี,2,ภูมิภาคยุโรป
 1 - 5 ปี,1,ภูมิภาคอเมริกา ตะวันออกกลาง และแอฟริกา
 1 - 5 ปี,1,ภูมิภาคอาเซียน เอเชียใต้ และแปซิฟิกใต้
 1 - 5 ปี,4,สำนักผู้ว่าการ
 6 - 10 ปี,8,กลุ่มอำนวยการ
 6 - 10 ปี,14,ฝ่ายโฆษณาและประชาสัมพันธ์
 6 - 10 ปี,5,ฝ่ายการเงิน
 6 - 10 ปี,5,ฝ่ายกิจกรรม
 6 - 10 ปี,4,ฝ่ายดิจิทัลและเทคโนโลยีสารสนเทศ
 6 - 10 ปี,4,ฝ่ายตรวจสอบภายใน
 6 - 10 ปี,8,ฝ่ายติดตามและบริหารความเสี่ยง
 6 - 10 ปี,11,ฝ่ายทรัพยากรบุคคล
 6 - 10 ปี,9,ฝ่ายบริการการตลาด
 6 - 10 ปี,13,ฝ่ายบริหารทั่วไป
 6 - 10 ปี,1,ฝ่ายบัญชีและงบประมาณ
 6 - 10 ปี,3,ฝ่ายวางแผน
 6 - 10 ปี,6,ฝ่ายวิจัยและพัฒนาด้านการท่องเที่ยว
 6 - 10 ปี,8,ฝ่ายส่งเสริมการลงทุนอุตสาหกรรมท่องเที่ยว
