tenure_categories,Countby_tenure,division
 0 -1 Y,1,Advertising and Public Relations Department
 0 -1 Y,8,Finance Department
 0 -1 Y,1,Activities Department
 0 -1 Y,1,Digital and Information Technology Department
 0 -1 Y,7,Monitoring and Risk Management Department
 0 -1 Y,6,Human Resources Department
 0 -1 Y,2,Marketing Services Department
 0 -1 Y,13,General Administration Department
 0 -1 Y,3,Accounting and Budget Department
 0 -1 Y,5,Planning Department
 0 -1 Y,3,Tourism Research and Development Department
 0 -1 Y,1,Tourism Industry Investment Promotion Department
 0 -1 Y,2,Tourism Products Department
 0 -1 Y,1,East Asia region
 0 -1 Y,3,northern region
 0 -1 Y,2,southern region
 0 -1 Y,1,Central region
 0 -1 Y,4,Eastern region
 1 - 5 Y,5,Administrative group
 1 - 5 Y,11,Advertising and Public Relations Department
 1 - 5 Y,7,Finance Department
 1 - 5 Y,6,Activities Department
 1 - 5 Y,5,Digital and Information Technology Department
 1 - 5 Y,3,Internal Audit Department
 1 - 5 Y,7,Monitoring and Risk Management Department
 1 - 5 Y,14,Human Resources Department
 1 - 5 Y,20,Marketing Services Department
 1 - 5 Y,24,General Administration Department
 1 - 5 Y,9,Accounting and Budget Department
 1 - 5 Y,5,Planning Department
 1 - 5 Y,10,Tourism Research and Development Department
 1 - 5 Y,5,Tourism Industry Investment Promotion Department
 1 - 5 Y,15,Tourism Products Department
 1 - 5 Y,5,East Asia region
 1 - 5 Y,13,northern region
 1 - 5 Y,14,southern region
 1 - 5 Y,11,Central region
 1 - 5 Y,6,Eastern region
 1 - 5 Y,13,Northeastern region
 1 - 5 Y,2,European region
 1 - 5 Y,1,"Americas, Middle East and Africa region"
 1 - 5 Y,1,"ASEAN, South Asia and the South Pacific region"
 1 - 5 Y,4,Governor's Office
 6 - 10 Y,8,Administrative group
 6 - 10 Y,14,Advertising and Public Relations Department
 6 - 10 Y,5,Finance Department
 6 - 10 Y,5,Activities Department
 6 - 10 Y,4,Digital and Information Technology Department
 6 - 10 Y,4,Internal Audit Department
 6 - 10 Y,8,Monitoring and Risk Management Department
 6 - 10 Y,11,Human Resources Department
 6 - 10 Y,9,Marketing Services Department
 6 - 10 Y,13,General Administration Department
 6 - 10 Y,1,Accounting and Budget Department
 6 - 10 Y,3,Planning Department
 6 - 10 Y,6,Tourism Research and Development Department
 6 - 10 Y,8,Tourism Industry Investment Promotion Department
 6 - 10 Y,6,Tourism Products Department
