Group_Result,Count of Group_Result,% Competency,Job Family,Count of Job Family
Approaching Expectations,4,78.00%,Planning Family,4
Approaching Expectations,1,80.00%,Engineering & Maintenance Family,1
Approaching Expectations,1,82.00%,Product Development & Technical Service Family,1
Approaching Expectations,2,83.00%,Administration Family,2
Approaching Expectations,1,83.00%,Human Resource Family,1
Approaching Expectations,3,83.00%,Safety Family,3
Approaching Expectations,2,88.00%,Administration Family,2
Approaching Expectations,1,89.00%,Administration Family,1
Approaching Expectations,1,89.00%,Planning Family,1
Developing Proficiency,1,27.00%,Product Development & Technical Service Family,1
Developing Proficiency,3,29.00%,Accounting & Finance Family,3
Developing Proficiency,2,30.00%,Engineering & Maintenance Family,2
Developing Proficiency,1,33.00%,Human Resource Family,1
Developing Proficiency,1,38.00%,Operation Family,1
Developing Proficiency,1,40.00%,Engineering & Maintenance Family,1
Developing Proficiency,1,50.00%,Administration Family,1
Developing Proficiency,1,50.00%,Human Resource Family,1
Developing Proficiency,2,50.00%,Operation Family,2
Early Development Stage,2,0.00%,Administration Family,2
Early Development Stage,1,10.00%,Engineering & Maintenance Family,1
Early Development Stage,2,13.00%,Operation Family,2
Early Development Stage,1,14.00%,Accounting & Finance Family,1
Early Development Stage,2,17.00%,Administration Family,2
Early Development Stage,4,18.00%,Product Development & Technical Service Family,4
Early Development Stage,2,25.00%,Operation Family,2
Meeting Expectations,2,100.00%,Accounting & Finance Family,2
Meeting Expectations,1,100.00%,Administration Family,1
Meeting Expectations,3,100.00%,Engineering & Maintenance Family,3
Meeting Expectations,2,100.00%,Information Technology Family,2
Meeting Expectations,1,100.00%,Planning Family,1
Meeting Expectations,1,100.00%,Product Development & Technical Service Family,1
Meeting Expectations,2,100.00%,Purchasing Family,2
Meeting Expectations,1,100.00%,Safety Family,1
Minor Learning Gap,1,55.00%,Product Development & Technical Service Family,1
Minor Learning Gap,1,56.00%,Planning Family,1
Minor Learning Gap,2,56.00%,Sales Family,2
Minor Learning Gap,1,57.00%,Accounting & Finance Family,1
Minor Learning Gap,2,60.00%,Engineering & Maintenance Family,2
Minor Learning Gap,1,63.00%,Administration Family,1
Minor Learning Gap,3,63.00%,Operation Family,3
Minor Learning Gap,2,67.00%,Human Resource Family,2
Minor Learning Gap,1,67.00%,Information Technology Family,1
Minor Learning Gap,1,67.00%,Planning Family,1
Minor Learning Gap,1,67.00%,Sales Family,1
Minor Learning Gap,2,70.00%,Engineering & Maintenance Family,2
Minor Learning Gap,1,71.00%,Accounting & Finance Family,1
Minor Learning Gap,1,71.00%,Planning Family,1
Minor Learning Gap,1,73.00%,Product Development & Technical Service Family,1
Minor Learning Gap,1,75.00%,Operation Family,1
