Abbreviated Factor,Percentile_Prioritize_Factor,Pioritize_factor_,GEN,avg_score_factor
ATH,28.21%,3.81%,Baby Boomer,2.4594594594594597
ATH,61.54%,8.10%,Gen X,2.7301587301587302
ATH,46.15%,9.52%,Gen Y,2.5714285714285716
ATH,38.46%,3.81%,Gen Z,2.8181818181818183
BEN,10.26%,2.86%,Baby Boomer,3
BEN,12.82%,5.71%,Gen X,3
BEN,46.15%,9.52%,Gen Y,3.038961038961039
BEN,5.13%,1.90%,Gen Z,3
BI,46.15%,4.76%,Baby Boomer,3.1621621621621623
BI,12.82%,5.71%,Gen X,3.253968253968254
BI,25.64%,8.10%,Gen Y,3.3896103896103895
BI,12.82%,2.86%,Gen Z,3.212121212121212
CMP,5.13%,2.38%,Baby Boomer,2.918918918918919
CMP,76.92%,9.05%,Gen X,2.761904761904762
CMP,5.13%,6.67%,Gen Y,2.7532467532467533
CMP,97.44%,6.19%,Gen Z,2.6666666666666665
CO,5.13%,2.38%,Baby Boomer,2.72972972972973
CO,7.69%,5.24%,Gen X,2.6507936507936507
CO,5.13%,6.67%,Gen Y,2.675324675324675
CO,53.85%,4.29%,Gen Z,2.3636363636363638
COM,76.92%,5.24%,Baby Boomer,2.6216216216216215
COM,71.79%,8.57%,Gen X,2.5714285714285716
COM,79.49%,10.95%,Gen Y,2.5454545454545454
COM,69.23%,4.76%,Gen Z,2.727272727272727
COOP,89.74%,6.19%,Baby Boomer,3.324324324324324
COOP,35.90%,7.14%,Gen X,3.2698412698412698
COOP,74.36%,10.48%,Gen Y,3.064935064935065
COOP,69.23%,4.76%,Gen Z,2.9696969696969697
CV,92.31%,6.67%,Baby Boomer,2.3783783783783785
CV,84.62%,9.52%,Gen X,2.7301587301587302
CV,79.49%,10.95%,Gen Y,2.6103896103896105
CV,69.23%,4.76%,Gen Z,2.909090909090909
DC,23.08%,3.33%,Baby Boomer,3.1621621621621623
DC,12.82%,5.71%,Gen X,3.0476190476190474
DC,46.15%,9.52%,Gen Y,2.987012987012987
DC,25.64%,3.33%,Gen Z,3
EEA,46.15%,4.76%,Baby Boomer,2.7027027027027026
EEA,94.87%,10.48%,Gen X,2.9523809523809526
EEA,12.82%,7.14%,Gen Y,2.792207792207792
EEA,10.26%,2.38%,Gen Z,2.8181818181818183
FA,28.21%,3.81%,Baby Boomer,2.972972972972973
FA,61.54%,8.10%,Gen X,3.126984126984127
FA,46.15%,9.52%,Gen Y,3.116883116883117
FA,2.56%,1.43%,Gen Z,2.757575757575758
FT,41.03%,4.29%,Baby Boomer,2.6486486486486487
FT,46.15%,7.62%,Gen X,2.8412698412698414
FT,30.77%,8.57%,Gen Y,2.5974025974025974
FT,25.64%,3.33%,Gen Z,2.606060606060606
GCL,76.92%,5.24%,Baby Boomer,3.27027027027027
GCL,76.92%,9.05%,Gen X,3.1587301587301586
GCL,0.00%,6.19%,Gen Y,3.168831168831169
GCL,25.64%,3.33%,Gen Z,3
JE,28.21%,3.81%,Baby Boomer,2.5945945945945947
JE,94.87%,10.48%,Gen X,2.6825396825396823
JE,20.51%,7.62%,Gen Y,2.688311688311688
JE,38.46%,3.81%,Gen Z,2.484848484848485
JS,46.15%,4.76%,Baby Boomer,3.027027027027027
JS,35.90%,7.14%,Gen X,3.1904761904761907
JS,79.49%,10.95%,Gen Y,3.051948051948052
JS,53.85%,4.29%,Gen Z,2.9696969696969697
